datetime_utc,symbol,direction,exchange,confidence,price,rsi,count
2025-10-09T09:13:46.617089+00:00,FLOKI/USDT,LONG,gateio,0.75,9.403e-05,18.45415128820723,2
2025-10-09T10:14:14.638839+00:00,DEGEN/USDT,LONG,okx,0.75,0.002728,27.47231614701856,2
2025-10-09T19:10:59.539774+00:00,PONKE/USDT,SHORT,gateio,0.75,0.08374,60.59998303200469,2
2025-10-11T03:22:23.549363+00:00,MUBARAK/USDT,SHORT,gateio,0.75,0.02286,52.26780276999484,2
2025-10-11T06:15:51.393634+00:00,MUBARAK/USDT,SHORT,okx,0.75,0.02267,36.820062113771144,2
2025-10-11T10:11:26.900138+00:00,PIPPIN/USDT,SHORT,mexc,0.75,0.01176,60.91546292899714,2
2025-10-11T11:09:29.547098+00:00,PIPPIN/USDT,SHORT,mexc,0.75,0.01204,77.97198980392113,3
2025-10-11T11:09:29.547098+00:00,BAN/USDT,LONG,gateio,0.75,0.05389,24.441685929761775,2
2025-10-12T02:22:40.131767+00:00,SPX/USDT,SHORT,mexc,0.75,1.0467,44.71032666757611,2
2025-10-12T05:11:42.127085+00:00,DOGE/USDT,SHORT,gateio,0.75,0.18742,67.94978283433511,2
2025-10-12T08:14:27.123478+00:00,BAN/USDT,SHORT,mexc,0.75,0.05388,74.37323004943666,2
2025-10-12T11:09:55.945655+00:00,KOMA/USDT,SHORT,bitget,0.75,0.0192,69.42144744213782,2
2025-10-12T16:13:16.755780+00:00,PNUT/USDT,SHORT,mexc,0.75,0.1538,85.30611757434431,2
2025-10-12T19:09:18.806514+00:00,POPCAT/USDT,SHORT,bitget,0.75,0.1688,60.78430816352731,2
2025-10-12T20:12:39.897418+00:00,POPCAT/USDT,SHORT,gateio,0.75,0.1701,55.462178348987386,3
2025-10-12T20:12:39.897418+00:00,MEW/USDT,SHORT,mexc,0.75,0.002131,58.20834707697074,2
2025-10-13T00:55:44.794215+00:00,1000CAT/USDT,LONG,bitget,0.75,0.006465,38.85116759582897,2
2025-10-13T00:55:44.794215+00:00,DEGEN/USDT,LONG,mexc,0.75,0.002196,36.36312213766682,2
2025-10-13T04:15:44.552732+00:00,VINE/USDT,LONG,gateio,0.75,0.05665,46.32477523851534,2
2025-10-13T05:13:24.379438+00:00,DEGEN/USDT,LONG,gateio,1.0,0.002206,45.61347492223778,2
2025-10-14T03:29:59.684453+00:00,MYRO/USDT,LONG,gateio,1.0,0.015454,29.164022105826035,2
2025-10-14T04:14:51.381158+00:00,MYRO/USDT,LONG,gateio,0.75,0.015373,29.311931162390565,3
2025-10-14T05:12:44.476765+00:00,MYRO/USDT,LONG,gateio,0.75,0.01532,32.289598691821254,4
2025-10-14T06:19:10.780143+00:00,OM/USDT,SHORT,mexc,0.75,0.12808,33.79120619188534,2
2025-10-14T07:13:53.133071+00:00,OM/USDT,SHORT,mexc,0.75,0.12678,37.97909176085682,3
2025-10-15T22:10:28.716379+00:00,BAN/USDT,SHORT,mexc,0.75,0.05604,35.42855725714857,2
2025-10-16T18:17:27.298085+00:00,ORDI/USDT,SHORT,gateio,0.75,5.172,35.33568895853362,2
2025-10-16T23:11:44.597236+00:00,DOGS/USDT,SHORT,gateio,1.0,6.975e-05,44.01548496579525,2
2025-10-17T04:15:12.635552+00:00,BAN/USDT,SHORT,mexc,0.75,0.05385,64.97172571739674,2
2025-10-17T04:15:12.635552+00:00,OM/USDT,SHORT,bitget,0.75,0.12701,76.39592551341428,2
2025-10-17T19:10:21.674200+00:00,MEW/USDT,SHORT,mexc,1.0,0.001845,56.320932766599235,2
2025-10-17T19:10:21.674200+00:00,1000CAT/USDT,SHORT,bitget,0.75,0.005427,47.69205088895677,2
